UNIT,SUMMARY,STRENGTHS,WEAKNESSES,ERA,NATION,BUILDING,TYPE,STATS,BUILDING REQUIRED,ABILITIES,COST,POP COUNT
Ch%27ing_Musketeer,"The Ch'ing Musketeer is the Chinese gun infantry unit of the Imperial Age . It is upgraded from the Flintlock Infantry for 20 Gold , and can be trained at the War Camp.","Good vs. gun cavalry, spear infantry, and sword infantry.",weak vs. sword cavalry and field weapons.,Imperial Age,China,War Camp,Gun infantry,"{'HP': '260', 'Attack': '13', 'Speed': '13', 'Range': '4'}",None,None,"{'Food': '35', 'Gold': '25'}",1
Chevalier,"The Chevalier is the Frankish spear cavalry of the Medieval Age , trained at the Stable. It can call a Noble Charge to temporarily increase the speed of nearby allied units (50 power, hotkey 50).",Good vs. sword units.,Weak vs. archers.,Medieval Age,Franks,Stable,Spear Cavalry,"{'HP': '875', 'Attack': '35', 'Shock': '4', 'Speed': '18', 'Power': '100'}",None,None,"{'Food': '110', 'Gold': '140'}",2
Choson_Battleship,"The Choson Battleship is the ultimate Korean battleship of the Imperial Age , available to upgrade from the Turtle Boat for 95 Gold . It can transport land units across water.",Good vs. Fishing Boats and Transports.,Weak vs. siege weapons and other Battleships.,Imperial Age,Korea,Dock,Battleship,"{'HP': '6,160', 'Attack': '180', 'Transport capacity': '14', 'Speed': '11', 'Range': '6'}",None,None,"{'Wood': '270', 'Gold': '330'}",2
Choson_Flail_Cavalry,"The Choson Flail Cavalry is the Korean sword cavalry of the Gunpowder Age , available at the Stable. It is upgraded from the Mounted Flail for 75 Gold .",Good vs. gun infantry.,Weak vs. spear infantry and gun cavalry.,Medieval Age,Korea,Stable,Sword cavalry,"{'HP': '1,110', 'Attack': '37', 'Arrow': '1', 'Gun': '5', 'Speed': '18'}",None,None,"{'Food': '100', 'Gold': '120'}",2
Choson_Musketeer,"Like other Korean infantry, it can use Martial Arts to temporarily increase its speed and rate of attack, which will afterwards decrease in a short recovery period (100 power, hotkey M). ",Good vs. spear infantry and gun cavalry.,Weak vs. sword cavalry.,Imperial Age,Korea,Barracks,Gun infantry,"{'HP': '560', 'Attack': '31', 'Speed': '13', 'Power': '100', 'Range': '4'}",None,None,"{'Food': '90', 'Gold': '80'}",1
Choson_Sword_Cavalry,The Choson Sword Cavalry is a Korean sword cavalry unit . It is upgraded from the Choson Flail Cavalry for 75 Gold .,Good vs. gun infantry.,Weak vs. spear infantry and gun cavalry.,Imperial Age,Korea,Stable,Sword cavalry,"{'HP': '1,325', 'Attack': '44', 'Gun': '7', 'Speed': '18'}",None,None,"{'Food': '100', 'Gold': '120'}",2
Choson_Trident,"Its attack can stun cavalry. Like other Korean infantry, it can also use Martial Arts to temporarily increase its speed and rate of attack, which will afterwards decrease in a short recovery period (100 power, hotkey M). ",Good vs. sword units.,Weak vs. archers and gun infantry.,Gunpowder Age,Korea,Barracks,Spear infantry,"{'HP': '638', 'Attack': '28', 'Shock': '2', 'Speed': '13', 'Power': '100'}",None,None,"{'Food': '80', 'Gold': '40'}",1
Chu-ko-nu,"Known in Chinese as a Chu-Ko-Nu, this ""repeating crossbow"" held a magazine of bolts that could be fired in rapid succession.[1]",Good vs. groups of enemies.,Countered by any unit.,Medieval Age,China,War Camp,None,"{'HP': '250', 'Attack': '65', 'Speed': '12', 'Power': '100', 'Range': '6'}",Armory,None,"{'Wood': '120', 'Gold': '100'}",1
Cog_Warship,"The Cog Warship is the Frankish battleship of the Medieval Age , built at the Dock.",Good vs. Fishing Boats and Transports.,Weak vs. siege weapons and other Battleships.,Medieval Age,Franks,Dock,Battleship,"{'HP': '1,875', 'Attack': '105', 'Area Effect': '10', 'Speed': '15', 'Range': '6'}",None,None,"{'Wood': '135', 'Gold': '165'}",2
Commando,The British army units originally used for small attacks on enemy beaches were called Commandos. These units were used all over the world during the war from Africa to France. Their secret and dangerous missions often were paramount to future operations.[1],"Good vs. Citizens. Stealthy, detects stealthy units, and can climb cliffs and traverse forests.",Weak vs. tanks.,World War I,United Kingdom,Barracks,Scout,"{'HP': '300', 'Attack': '50', 'Speed': '16', 'Power': '100'}",Armory,None,"{'Food': '80', 'Gold': '95'}",1
Commissar,Commissars were appointed to Red Army units to spread propaganda and ensure loyalty to the communist government.[1],"Can throw Molotov Cocktails, encourage allied units, and see stealthy units.",Weak on his own.,World War I,Russia,Barracks,Support infantry,"{'HP': '700', 'Attack': '20', 'Speed': '13', 'Power': '100', 'Range': '6'}",Armory,"['Molotov', 'CocktailEncouragement']","{'Food': '180', 'Gold': '180'}",1
Commoner,"Chinese Commoners can construct siege and field weapons: the Fork Cart in the Medieval and Gunpowder Age, the Siege Crossbow in the Gunpowder and Imperial Age, and the Barbarian Cannon in the Imperial Age. They can also forecast a Monsoon, which creates an area with heavy rain and wind that slows down enemy land and sea units, and damages air units. The player can control the Monsoon like a unit (75 power, hotkey M).","Good vs. animals. Can construct and repair buildings, and gather resources.",Weak vs. any unit.,Medieval Age,China,Town Center,Citizen,"{'HP': '250', 'Speed': '11', 'Range': '2'}",None,None,{'Food': '(China)50'},1
Companion_Archer,"Some young Chinese men, not unlike knightly squires, were called upon to serve a man of higher rank. It became their sworn duty to protect their lords, even bearing a shield for them into battle.[1]",Good vs. archers.,Weak vs. melee units.,Medieval Age,China,War Camp,Foot Archer,"{'HP': '350', 'Attack': '40', 'Speed': '12', 'Range': '5'}",Armory,None,"{'Wood': '110', 'Gold': '90'}",1
Comrade,"The Comrade can turn into a Revolutionary for 175 Wood . Revolutionaries can self-detonate, causing widespread damage.","Good vs. animals. Can construct and repair buildings, and gather resources.",Weak vs. any unit.,World War I,Russia,Town Center,Citizen,"{'HP': '400', 'Attack': '7', 'Speed': '11', 'Range': '2'}",None,['Revolutionary'],{'Food': '40'},1
Conscript,"In the Soviet Union, military service was compulsory for all males once they turned 18. These conscripts were usually poorly trained, inexperienced youths, who fought to their deaths for the Motherland. In Empires, Conscripts remain true to their real life counterparts. Armed only with their fallen comrade's rifle, these weak infantry troops can be produced in great numbers relatively cheaply.[1]",Good vs. anti-tank units.,Weak vs. tanks and field weapons.,World War I,Russia,Town Center,Gun Infantry,"{'HP': '310', 'Attack': '18', 'Speed': '13', 'Range': '5'}",None,None,"{'Food': '35', 'Gold': '25'}",1
Cossack,"The Cossacks settled southern Ukraine in the 15th Century, trading military service in return for political autonomy. They were reactivated to fight in both world wars.[1]",Good vs. gun infantry and Citizens.,Weak vs. tanks and anti-tank units.,World War I,Russia,Barracks,Scout,"{'HP': '725', 'Attack': '86', 'Gun': '4', 'Speed': '18', 'Power': '100'}",Armory,['Charge'],"{'Food': '80', 'Gold': '105'}",2
Courbet_Battleship,The Courbet Battleship is a French World War I battleship .,"Good vs. Fighters, Fishing Boats, and Transports.",Weak vs. submarines and siege weapons.,World War I,France,Dock,Battleship,"{'HP': '3,240', 'Attack': '150', 'Area Effect': '10', 'Speed': '18', 'Range': '7'}",None,None,"{'Wood': '135', 'Gold': '165'}",2
Crossbowman_(Empires),"The Crossbowman is an English foot archer . The Flaming Bolt ability sets its target on fire, doing continual damage over time (75 power, hotkey F).",Good vs. melee units.,Weak vs. ranged units.,Medieval Age,England,Barracks,None,"{'HP': '280', 'Attack': '30', 'Speed': '16', 'Power': '150', 'Range': '4'}",None,None,"{'Wood': '135', 'Gold': '115'}",1
Crusader,"In 1095 Pope Urban II travelled to France, urging the Franks to launch holy war to retake the Holy Lands from the Muslims.[1]",Good vs. archers.,Weak vs. spear units.,Medieval Age,Franks,Stable,Sword Cavalry,"{'HP': '710', 'Attack': '50', 'Speed': '18', 'Power': '100'}",Armory,None,"{'Food': '110', 'Gold': '130'}",2
Crusader_II,The Crusader tank was the standard tank for British forces for much of World War II with over five thousand made. It eventually was retired after the Cromwell Tank was made. The early models were quickly outclassed by the Axis leading to the creation of the Crusader II.[1],Good vs. infantry.,Weak vs. anti-tank units.,World War II,United Kingdom,Tank Factory,Tank,"{'HP': '2,850', 'Attack': '132', 'Gun': '3', 'Speed': '14', 'Range': '5'}",None,None,"{'Food': '170', 'Gold': '210'}",2
Cuirassier_(Empires),"The Cuirassier is the English gun cavalry of the Gunpowder Age , trained from the Stable.",Strong vs. sword cavalry.,Weak vs. gun infantry.,Gunpowder Age,England,Stable,Gun Cavalry,"{'HP': '625', 'Attack': '45', 'Shock': '5', 'Speed': '18', 'Range': '4'}",None,None,"{'Food': '100', 'Gold': '120'}",2
Culverin_(Empires),"The Culverin is an English field weapon, available from the Gunpowder Age on . It is able to use the Bombardment ability, allowing it to fire over walls like a siege weapon.",Good vs. spear and gun infantry.,Weak vs. sword and spear cavalry.,Gunpowder Age,England,Siege Factory,Field Weapon,{},None,None,"{'Wood': '160', 'Gold': '190'}",2
D-2_Submarine,"The D-2 Submarine is a Russian submarine of World War I , available to be built from the Dock. It is stealthy and can detect other stealthy units.",Good vs. Battleships and Transports.,Weak vs. Fighters and towers.,World War I,Russia,Dock,Submarine,"{'HP': '1,620', 'Attack': '410', 'Speed': '14', 'Range': '7'}",None,None,"{'Wood': '145', 'Gold': '155'}",2
Dewoitine_Fighter,The Dewoitine Fighter is a French World War II fighter aircraft . It is upgraded from the Spad XIII Fighter for 95 Gold .,Good vs. Bombers and land units. Can detect stealthy units.,Weak vs. anti-air units.,World War II,France,Airport,Fighter,"{'HP': '500', 'Attack': '31', 'Speed': '24', 'Flight time': '150', 'Range': '8'}",None,None,"{'Wood': '130', 'Gold': '170'}",1
Dog,"The Dogs is a German World War I scout unit . It has a good Line of Sight, and can pass through forests.",Good Line of Sight.,Cannot attack.,World War I,Germany,Town Center,Scout,"{'HP': '180', 'Speed': '17'}",None,None,{'Food': '50'},None
Doughboy_(Empires),"The Doughboys have a long history. The Doughboys were the men America sent to France in the Great War, and fought to make the world safe for democracy. The expression doughboy, though, was in wide circulation a century before the First World War in both Britain and America, albeit with some very different meanings. Because of the occasional contact of the two nation's armed force and transatlantic migration, it seems likely that this usage was known to the members of the U.S. Army by the early 19th century. In the end, it was established that a ""doughboy"" was an American infantryman in World War 1.[1]",Good vs. anti-tank units.,Weak vs. tanks and field weapons.,World War I,United States,Barracks,Gun infantry,"{'HP': '530', 'Attack': '24', 'Speed': '13', 'Power': '100', 'Range': '5'}",None,['Charge!'],"{'Food': '50', 'Gold': '40'}",1
Dragoon_(Empires),"The Dragoon is the English gun cavalry of the Imperial Age , trained from the Stable. It is upgraded from the Cuirassier for 75 Gold .",Strong vs. sword infantry.,Weak vs. gun infantry.,Imperial Age,England,Stable,Gun Cavalry,"{'HP': '750', 'Attack': '54', 'Shock': '8', 'Speed': '18', 'Range': '5'}",None,None,"{'Food': '100', 'Gold': '120'}",2
Engineer_(Empires),"The Corps of Engineers was formed in 1802. In World War I, the first US troops in Europe were engineers. They helped construct rail lines, roads, bridges and other structure.[1]","Can repair mechanical ground units, capture enemy buildings, lay mine fields, and detect stealthy units.",Cannot attack.,World War I,United States,Barracks,Support infantry,"{'HP': '600', 'Speed': '12', 'Power': '100'}",Armory,"['RepairLay', 'Mine', 'FieldCapture', 'BuildingDetect', 'stealthy', 'units']","{'Food': '100', 'Gold': '80'}",1
Falcon,"The Falcon is the flying scout unit of the Koreans . It is available from the Medieval Age onward, and is trained at the Town Center.",Flying unit with god line of sight.,"Cannot attack.
Weak vs. archers and towers.",Medieval Age,Korea,Town Center,Scout,"{'HP': '60', 'Speed': '14'}",None,None,{'Food': '80'},1
